method,parameter,value
rejection,alpha,0.6522995488228275
sabc_4d,alpha,0.5184542181598022
sabc_1d,alpha,0.5104753586459951
loclin,alpha,0.3283747933644488
neuralnet,alpha,0.19013038935705381
lm,alpha,0.5614923660157273
rf,alpha,0.5801451393095496
loess,alpha,0.5046629008336742
rfboot,alpha,0.5743208287611934
average,alpha,1.1332997422976196
rejection,mu,0.08185235316553617
sabc_4d,mu,0.10122410117964353
sabc_1d,mu,0.10129600213214755
loclin,mu,0.0014506288146027891
neuralnet,mu,0.003196696049893304
lm,mu,0.0015338013401331562
rf,mu,0.004974804285335353
loess,mu,0.001658031301606032
rfboot,mu,0.002501438860993322
average,mu,0.23210426204091741
rejection,sigma,0.008402032305513974
sabc_4d,sigma,0.004509309216759181
sabc_1d,sigma,0.004414862055498641
loclin,sigma,0.0010749903680520405
neuralnet,sigma,8.347404661203838e-4
lm,sigma,0.0013154850106022083
rf,sigma,0.00662808238620589
loess,sigma,0.001326018609837032
rfboot,sigma,0.0037020387138494196
average,sigma,0.010439564009967015
